run_id,episode_id,episode_index,model_name,move_idx,command,observation,score,moves,inventory,done,seed,timestamp,tokens_prompt,tokens_completion
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,10,open mailbox,"open mailbox


It is already open.

",,,,False,,2025-12-04T00:23:46.228794,809,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,11,get leaflet,"get leaflet


You already have that!

",,,,False,,2025-12-04T00:23:48.215483,812,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,12,examine mailbox,"examine mailbox


The small mailbox is empty.

",,,,False,,2025-12-04T00:23:50.101853,769,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,13,look window,"look window
That sentence isn't one I recognize.

",,,,False,,2025-12-04T00:23:51.995407,768,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,14,examine window,"examine window


You can't see any window here!

",,,,False,,2025-12-04T00:23:53.937363,746,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,15,north,"north


North of House
You are facing the north side of a white house. There is no door here, and all
the windows are boarded up. To the north a narrow path winds through the trees.

",,,,False,,2025-12-04T00:23:55.827327,744,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,16,west,"west


West of House
There is a small mailbox here.

",,,,False,,2025-12-04T00:23:57.717603,778,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,17,open mailbox,"open mailbox


It is already open.

",,,,False,,2025-12-04T00:23:59.623659,782,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,18,take all,"take all


small mailbox: It is securely anchored.

",,,,False,,2025-12-04T00:24:01.584174,781,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,19,open mailbox,"open mailbox


It is already open.

",,,,False,,2025-12-04T00:24:03.501755,782,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,20,look,"look


West of House
You are standing in an open field west of a white house, with a boarded front
door.
There is a small mailbox here.

",,,,False,,2025-12-04T00:24:05.410044,780,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,21,north,"north


North of House

",,,,False,,2025-12-04T00:24:07.316086,770,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,22,east,"east


Behind House
You are behind the white house. A path leads into the forest to the east. In one
corner of the house there is a small window which is slightly ajar.

",,,,False,,2025-12-04T00:24:09.333018,763,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,23,open window,"open window


With great effort, you open the window far enough to allow entry.

",,,,False,,2025-12-04T00:24:11.252865,794,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,24,enter window,"enter window


Kitchen
You are in the kitchen of the white house. A table seems to have been used
recently for the preparation of food. A passage leads to the west and a dark
staircase can be seen leading upward. A dark chimney leads down and to the east
is a small window which is open.
On the table is an elongated brown sack, smelling of hot peppers.
A bottle is sitting on the table.
The glass bottle contains:
  A quantity of water

",,,,False,,2025-12-04T00:24:13.184792,800,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,25,take sack,"take sack


Taken.

",,,,False,,2025-12-04T00:24:15.091513,893,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,26,take bottle,"take bottle


Taken.

",,,,False,,2025-12-04T00:24:17.011451,866,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,27,up,"up


You have moved into a dark place.
It is pitch black. You are likely to be eaten by a grue.

",,,,False,,2025-12-04T00:24:18.892367,866,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,28,down,"down


Kitchen

",,,,False,,2025-12-04T00:24:20.817397,852,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,29,west,"west


Living Room
You are in the living room. There is a doorway to the east, a wooden door with
strange gothic lettering to the west, which appears to be nailed shut, a trophy
case, and a large oriental rug in the center of the room.
Above the trophy case hangs an elvish sword of great antiquity.
A battery-powered brass lantern is on the trophy case.

",,,,False,,2025-12-04T00:24:22.678489,838,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,30,open trophy case,"open trophy case


Opened.

",,,,False,,2025-12-04T00:24:24.672539,819,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,31,take lantern,"take lantern


Taken.

",,,,False,,2025-12-04T00:24:26.586999,821,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,32,light lantern,"light lantern


The brass lantern is now on.

",,,,False,,2025-12-04T00:24:28.583826,821,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,33,examine rug,"examine rug


There's nothing special about the carpet.

",,,,False,,2025-12-04T00:24:30.534368,806,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,34,west,"west


The door is nailed shut.

",,,,False,,2025-12-04T00:24:32.516317,813,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,35,examine door,"examine door


The engravings translate to ""This space intentionally left blank.""

",,,,False,,2025-12-04T00:24:34.457164,738,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,36,examine window,"examine window


You can't see any window here!

",,,,False,,2025-12-04T00:24:36.558119,746,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,37,open window,"open window


You can't see any window here!

",,,,False,,2025-12-04T00:24:38.445978,751,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,38,north,"north


You can't go that way.

",,,,False,,2025-12-04T00:24:40.337508,751,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,39,east,"east


Kitchen

",,,,False,,2025-12-04T00:24:42.209987,748,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,40,look,"look


Kitchen
You are in the kitchen of the white house. A table seems to have been used
recently for the preparation of food. A passage leads to the west and a dark
staircase can be seen leading upward. A dark chimney leads down and to the east
is a small window which is open.

",,,,False,,2025-12-04T00:24:44.125238,744,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,41,east,"east


Behind House

",,,,False,,2025-12-04T00:24:46.078089,795,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,42,enter window,"enter window


Kitchen

",,,,False,,2025-12-04T00:24:47.970161,789,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,43,west,"west


Living Room
Above the trophy case hangs an elvish sword of great antiquity.

",,,,False,,2025-12-04T00:24:49.916994,784,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,44,examine sword,"examine sword


There's nothing special about the sword.

",,,,False,,2025-12-04T00:24:51.866553,796,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,45,take sword,"take sword


Taken.

",,,,False,,2025-12-04T00:24:53.827560,803,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,46,north,"north


You can't go that way.

",,,,False,,2025-12-04T00:24:55.717173,742,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,47,east,"east


Kitchen

",,,,False,,2025-12-04T00:24:57.615429,745,1
